sheepx,sheepy,wolfx,wolfy,grassx,grassy
229,450,229,273,229,115.75
230,419,230,293,230,118.5
231,395,231,313,231,119.75
232,369,232,327,232,126.75
233,333,233,339,233,131.25
234,298,234,356,234,136
235,274,235,379,235,141
236,261,236,394,236,151.5
237,241,237,409,237,156.5
238,230,238,420,238,157.75
239,218,239,440,239,167.25
240,202,240,452,240,174.25
241,193,241,463,241,179.25
242,181,242,486,242,184.25
243,174,243,504,243,194.5
244,160,244,510,244,204.75
245,138,245,529,245,212
246,139,246,550,246,219
247,128,247,568,247,225.25
248,127,248,581,248,230
249,122,249,595,249,236.25
250,109,250,607,250,239.75
251,100,251,621,251,248
252,88,252,620,252,257.25
253,76,253,618,253,265.5
254,72,254,620,254,272.75
255,66,255,621,255,283.25
256,66,256,639,256,291
257,59,257,653,257,300.75
258,50,258,652,258,310.75
259,49,259,634,259,323.5
260,43,260,625,260,339.5
261,41,261,614,261,353
262,41,262,597,262,365.75
263,37,263,584,263,373.75
264,38,264,561,264,385
265,34,265,544,265,393
266,33,266,538,266,400.25
267,31,267,517,267,409
268,32,268,520,268,418.75
269,30,269,502,269,426.5
270,32,270,485,270,433
271,28,271,468,271,441.75
272,27,272,449,272,449.25
273,29,273,439,273,454.25
274,27,274,433,274,459.5
275,27,275,425,275,466.75
276,30,276,404,276,470.25
277,28,277,381,277,476
278,28,278,376,278,482
279,23,279,370,279,485.5
280,22,280,356,280,491.5
281,21,281,342,281,494.5
282,23,282,336,282,499.75
283,24,283,328,283,503.5
284,24,284,317,284,506
285,21,285,307,285,506.75
286,18,286,303,286,509.5
287,17,287,287,287,512.5
288,17,288,256,288,515.5
289,16,289,249,289,518
290,15,290,241,290,520.25
291,14,291,227,291,524
